date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2021-01-18,10581823,152556,India,10050.0,137.0,14663.42857142857,0.0950644702643499,1.4416797559361936,-19.593949044585987,14.367796610169492,-13.74763406940063,-13.040358744394618,11.42744479495268
2021-01-19,10595639,152718,India,13816.0,162.0,14356.0,0.1305635144341455,1.4413288334946104,-20.47217806041336,12.143100511073254,-14.066141732283464,-13.116591928251122,11.565560821484992
2021-01-20,10610883,152869,India,15244.0,151.0,14112.857142857143,0.1438705112546845,1.44068123265519,-18.937996820349763,15.918088737201366,-12.423622047244097,-11.976083707025412,12.257503949447075
2021-01-21,10625428,153032,India,14545.0,163.0,13963.57142857143,0.1370762452097551,1.4402431600872925,-19.12101910828025,15.198305084745762,-12.993690851735016,-9.720478325859492,12.14622641509434
2021-01-22,10639684,153184,India,14256.0,152.0,13834.714285714286,0.1341687130156144,1.439742007375407,-18.251192368839423,17.361016949152543,-11.056782334384858,-7.745889387144992,12.199367088607596
2021-01-23,10654533,153339,India,14849.0,155.0,13792.57142857143,0.1395624155754893,1.4391902488827994,-19.374603174603173,14.84915254237288,-11.329652996845423,-8.553892215568862,12.015898251192368
2021-01-24,10667736,153470,India,13203.0,131.0,13709.0,0.1239190868337347,1.4386370266380797,-19.434231378763865,14.17123287671233,-9.268562401263823,-4.172413793103448,10.886035313001605
2021-01-25,10676838,153587,India,9102.0,117.0,13573.57142857143,0.0853226963996922,1.43850641922262,-14.01116427432217,21.165247018739358,-8.914691943127963,-10.579970104633782,11.733438485804417
2021-01-26,10689527,153724,India,12689.0,137.0,13412.57142857143,0.1188460478654729,1.43808046885517,-19.82484076433121,10.66723259762309,-15.938485804416404,-34.37014925373134,15.674050632911392
2021-01-27,10701193,153847,India,11666.0,123.0,12901.42857142857,0.1091348569492334,1.437662137296281,-17.246422893481718,18.9965811965812,-7.662460567823344,-6.9073243647234674,11.291338582677165
2021-01-28,10720048,154010,India,18855.0,163.0,13517.142857142857,0.1761953083174949,1.4366540149820224,-18.936406995230524,16.487266553480474,-10.462875197472354,-9.168908819133035,12.086477987421384
2021-01-29,10733130,154147,India,13082.0,137.0,13349.42857142857,0.1220330356729748,1.4361793810379635,-19.436507936507937,20.242784380305604,-9.361198738170348,-7.348281016442451,10.48503937007874
2021-01-30,10746174,154274,India,13044.0,127.0,13091.57142857143,0.1215302525917394,1.4356179231789843,-20.1376582278481,21.56514382402707,-7.517350157728707,-4.850299401197605,7.96513470681458
2021-01-31,10757610,154392,India,11436.0,118.0,12839.142857142857,0.1064192707097344,1.435188671089582,-21.05071315372425,20.120068610634647,-7.230283911671925,-6.72863568215892,7.0144
2021-02-01,10766245,154486,India,8635.0,94.0,12772.42857142857,0.0802687585811368,1.434910686130587,-18.169329073482427,24.428571428571427,-6.691943127962086,-11.55306427503737,7.196850393700787
2021-02-02,10777284,154596,India,11039.0,110.0,12536.714285714286,0.102533427392748,1.434461595333295,-17.390749601275918,24.457337883959045,-4.883280757097792,-11.644245142002989,6.921383647798742
2021-02-03,10790183,154703,India,12899.0,107.0,12712.857142857143,0.1196869266876454,1.4337384268644937,-18.10207336523126,23.039383561643834,-6.022082018927445,-10.284005979073244,7.221698113207547
2021-02-04,10802591,154823,India,12408.0,120.0,11791.857142857143,0.1149934157743226,1.4332024604097295,-20.520700636942674,18.28061224489796,-9.562401263823064,-12.98505231689088,7.508634222919937
2021-02-05,10814304,154918,India,11713.0,95.0,11596.285714285714,0.1084276910974457,1.4325286213518689,-18.4156050955414,23.55366269165247,-7.470031545741325,-11.284005979073244,7.461417322834646
2021-02-06,10826363,154996,India,12059.0,78.0,11455.57142857143,0.1115097189795966,1.431653455551047,-19.682539682539684,21.502546689303905,-7.60347551342812,-7.382660687593423,7.03968253968254
2021-02-07,10838194,155080,India,11831.0,84.0,11512.0,0.1092795429083581,1.4308656958899242,-19.41269841269841,17.22852233676976,-5.643533123028392,-10.782934131736528,6.672
2021-02-08,10847304,155158,India,9110.0,78.0,11579.857142857143,0.0840545943355586,1.4303830703002332,-17.31419457735247,23.56271186440678,-5.436908517350158,-12.962630792227204,6.599369085173501
2021-02-09,10858371,155252,India,11067.0,94.0,11583.857142857143,0.1020253511840429,1.429790895890369,-16.6555023923445,24.153321976149915,-4.08503937007874,-12.847533632286996,6.67244094488189
2021-02-10,10871294,155360,India,12923.0,108.0,11587.285714285714,0.1190141688840906,1.4290847069355317,-15.743630573248408,26.095726495726492,-2.5252365930599368,-9.955156950672643,6.682965299684542
2021-02-11,10880603,155447,India,9309.0,87.0,11144.57142857143,0.0856291808500442,1.4286616284042346,-16.27591706539075,24.38671209540034,-4.848580441640379,-10.807174887892376,7.596546310832025
2021-02-12,10892746,155550,India,12143.0,103.0,11206.0,0.1116022705726971,1.4280145704306333,-14.513513513513514,27.03924914675768,-2.214511041009464,-9.623318385650224,7.34433962264151
2021-02-13,10904940,155642,India,12194.0,92.0,11225.285714285714,0.1119460602496458,1.42726140629843,-14.149206349206349,25.651877133105803,-3.5946372239747637,-14.046337817638266,7.698412698412699
2021-02-14,10916589,155732,India,11649.0,90.0,11199.285714285714,0.1068231462071356,1.4265628210423604,-11.537974683544304,26.571428571428573,0.2511848341232227,-10.980538922155688,6.397435897435898
2021-02-15,10925710,155813,India,9121.0,81.0,11200.857142857143,0.0835517394673468,1.4261132686113762,-12.57074721780604,29.022184300341294,-0.3696682464454976,-14.814648729446937,6.339652448657188
2021-02-16,10937320,155913,India,11610.0,100.0,11278.42857142857,0.1062631169965078,1.425513745597642,-13.820063694267516,23.39451114922813,-0.8911671924290221,-20.49476831091181,6.649289099526066
2021-02-17,10950201,156014,India,12881.0,101.0,11272.42857142857,0.1177710810326582,1.424759235013129,-13.802232854864434,26.672977624784853,1.7665615141955835,-11.683109118086696,6.315457413249211
2021-02-18,10963394,156111,India,13193.0,97.0,11827.285714285714,0.1204818066809831,1.4239294875291355,-14.802232854864434,25.866666666666667,-0.4085173501577287,-10.593423019431988,7.583333333333333
2021-02-19,10977387,156212,India,13993.0,101.0,12091.57142857143,0.1276338330995052,1.42303446166196,-14.10207336523126,28.10732538330494,-0.0662460567823343,-9.717488789237668,7.992113564668769
2021-02-20,10991651,156302,India,14264.0,90.0,12387.285714285714,0.1299398481624081,1.4220065757182427,-13.473186119873818,28.298126064735943,-0.5354330708661418,-5.9073243647234674,6.974603174603175
2021-02-21,11005850,156385,India,14199.0,83.0,12751.57142857143,0.129179865699891,1.420926143823512,-14.893819334389857,25.03972366148532,-1.246445497630332,-10.182634730538922,7.365971107544142
2021-02-22,11016434,156463,India,10584.0,78.0,12960.57142857143,0.0961670384386437,1.4202690271643257,-13.759554140127388,27.781942078364565,-1.0709779179810726,-10.417040358744394,6.952681388012619
2021-02-23,11030176,156567,India,13742.0,104.0,13265.142857142857,0.1247409098080298,1.4194424458866295,-13.909235668789808,26.642735042735044,-0.6503937007874016,-10.500747384155456,7.474015748031496
2021-02-24,11046914,156705,India,16738.0,138.0,13816.142857142857,0.1517473519914824,1.418540960851148,-12.742038216560507,29.056603773584907,1.5,-8.20627802690583,7.315955766192733
2021-02-25,11063491,156825,India,16577.0,120.0,14299.57142857143,0.1500600077089409,1.41750013625898,-13.677265500794912,27.51360544217687,-0.1336477987421383,-9.451420029895369,7.610062893081761
2021-02-26,11079979,156938,India,16488.0,113.0,14656.0,0.1490307173386718,1.4164106267710437,-16.664546899841017,25.70169491525424,-2.563779527559055,-10.973094170403588,8.429022082018928
2021-02-27,11096731,157051,India,16752.0,113.0,15011.42857142857,0.1511916222945997,1.4152906833553054,-14.77567140600316,26.51530612244898,-2.6708661417322834,-12.159940209267564,8.12063492063492
2021-02-28,11112241,157157,India,15510.0,106.0,15198.714285714286,0.1397708928872809,1.414269182966784,-15.112698412698412,24.94463667820069,-1.584518167456556,-8.305389221556887,7.2756410256410255
2021-03-01,11124527,157248,India,12286.0,91.0,15441.857142857143,0.1105627568732448,1.413525267186641,-13.156050955414011,29.8381601362862,-0.2996845425867508,-9.39760837070254,6.952681388012619
2021-03-02,11139516,157346,India,14989.0,98.0,15620.0,0.1347383129188362,1.4125030207775633,-13.877388535031848,27.797598627787306,-1.0173228346456693,-10.1644245142003,7.474763406940063
